path,fileType,approximatePurpose,featureArea,activeSource,test,configuration,documentation,integrationPackage,generatedEvidence,historicalOrLegacy,lastRelevantCommit,manuallyInspected,appearsActive,appearsUnused,riskLevel,notes
docs/APP_WIDE_CPB_LANGUAGE_AUDIT_2026-07.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked documentation; 5334 bytes
docs/BAKER_PAYMENT_GUIDE.md,.md,Project documentation or historical phase record,finance,false,false,false,true,false,false,false,15918f4,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 1351 bytes
docs/CPB_HISTORICAL_ATTENDANCE_DRY_RUN.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,9e5a605,yes - categorized by path/content scan,true,false,low,Tracked documentation; 4180 bytes
docs/DEPLOYMENT_GUIDE.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,9ce8ccf,yes - categorized by path/content scan,true,false,low,Tracked documentation; 1134 bytes
docs/EVENT_DAY_GUIDE.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,15918f4,yes - categorized by path/content scan,true,false,low,Tracked documentation; 1319 bytes
docs/EVENT_LIFECYCLE_GUIDE.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,15918f4,yes - categorized by path/content scan,true,false,low,Tracked documentation; 1910 bytes
docs/FINANCE_EVIDENCE_GUIDE.md,.md,Project documentation or historical phase record,finance,false,false,false,true,false,false,false,9ce8ccf,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 2120 bytes
docs/FULL_STACK_PRODUCT_REALITY_AUDIT_2026-07.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked documentation; 10118 bytes
docs/HISTORICAL_ARCHIVE_INDEX.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,9ce8ccf,yes - categorized by path/content scan,false,true,low,Tracked documentation; 1836 bytes
docs/KNOWN_LIMITATIONS.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked documentation; 867 bytes
docs/NEW_EVENT_SETUP_GUIDE.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,15918f4,yes - categorized by path/content scan,true,false,low,Tracked documentation; 2256 bytes
docs/OPERATIONS_GUIDE.md,.md,Project documentation or historical phase record,operations,false,false,false,true,false,false,false,15918f4,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 2132 bytes
docs/ORGANIZER_QUICK_START.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked documentation; 2050 bytes
docs/PRODUCT_GUIDE.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked documentation; 10426 bytes
docs/PROTOTYPE_DEMO_GUIDE.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,15918f4,yes - categorized by path/content scan,true,false,low,Tracked documentation; 2459 bytes
docs/QA_GUIDE.md,.md,Project documentation or historical phase record,system qa,false,false,false,true,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked documentation; 1163 bytes
docs/ROUTE_MAP.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked documentation; 2464 bytes
docs/TUTORIAL_LEGACY_FAILURE_AUDIT_2026-07.md,.md,Project documentation or historical phase record,tutorial,false,false,false,true,false,false,true,67219c5,yes - categorized by path/content scan,false,true,low,Tracked documentation; 5029 bytes
docs/TUTORIAL_PRODUCTION_STRESS_RESULTS.md,.md,Project documentation or historical phase record,tutorial,false,false,false,true,false,false,false,67219c5,yes - categorized by path/content scan,true,false,high,Tracked documentation; 1277 bytes
docs/TUTORIAL_STEP_BY_STEP_TARGET_AUDIT_2026-07.md,.md,Project documentation or historical phase record,tutorial,false,false,false,true,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,low,Tracked documentation; 5006 bytes
docs/TUTORIAL_V3_ARCHITECTURE.md,.md,Project documentation or historical phase record,tutorial,false,false,false,true,false,false,false,67219c5,yes - categorized by path/content scan,true,false,low,Tracked documentation; 4160 bytes
docs/VISUAL_LAYOUT_INFORMATION_ARCHITECTURE_REVIEW_2026-07.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,4823628,yes - categorized by path/content scan,true,false,low,Tracked documentation; 13361 bytes
doctor.config.json,.json,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,f322577,yes - categorized by path/content scan,true,false,low,Tracked configuration; 395 bytes
e2e/accessibility.spec.js,.js,Automated test or Playwright E2E,test,false,true,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,medium,Tracked test; 1716 bytes
e2e/navigation.spec.js,.js,Automated test or Playwright E2E,test,false,true,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked test; 861 bytes
e2e/responsive.spec.js,.js,Automated test or Playwright E2E,test,false,true,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked test; 1527 bytes
e2e/support.js,.js,Automated test or Playwright E2E,test,false,true,false,false,false,false,false,1e5f9df,yes - categorized by path/content scan,true,false,low,Tracked test; 2181 bytes
e2e/tutorial.spec.js,.js,Automated test or Playwright E2E,tutorial,false,true,false,false,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,low,Tracked test; 5714 bytes
e2e/workflows.spec.js,.js,Automated test or Playwright E2E,test,false,true,false,false,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,low,Tracked test; 11823 bytes
eslint.config.js,.js,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,7fa95a1,yes - categorized by path/content scan,true,false,low,Tracked configuration; 770 bytes
firebase.json,.json,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,medium,Tracked configuration; 1870 bytes
firestore.indexes.json,.json,"Build, Firebase, CI, dependency or tooling config",firebase security,false,false,true,false,false,false,false,d0b0da3,yes - categorized by path/content scan,true,false,low,Tracked configuration; 354 bytes
firestore.rules,.rules,"Build, Firebase, CI, dependency or tooling config",firebase security,false,false,true,false,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,medium,Tracked configuration; 57155 bytes
index.html,.html,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,15918f4,yes - categorized by path/content scan,true,false,low,Tracked configuration; 983 bytes
integrations/google-forms/Code.gs,.gs,External integration package or Firebase Function,google forms,false,false,false,false,true,false,false,2f7996f,yes - categorized by path/content scan,true,false,low,Tracked integration; 3873 bytes
integrations/google-forms/REMOVE.md,.md,Project documentation or historical phase record,google forms,false,false,false,true,false,false,false,2f7996f,yes - categorized by path/content scan,true,false,low,Tracked documentation; 556 bytes
integrations/google-forms/SETUP.md,.md,Project documentation or historical phase record,google forms,false,false,false,true,false,false,false,2f7996f,yes - categorized by path/content scan,true,false,low,Tracked documentation; 1571 bytes
integrations/google-forms/TESTING.md,.md,Project documentation or historical phase record,google forms,false,false,false,true,false,false,false,2f7996f,yes - categorized by path/content scan,true,false,low,Tracked documentation; 1103 bytes
integrations/google-forms/function/googleFormsReceiver.js,.js,External integration package or Firebase Function,google forms,false,false,false,false,true,false,false,2f7996f,yes - categorized by path/content scan,true,false,low,Tracked integration; 4383 bytes
output/security-stability-and-visual-reality/react-doctor-phase2.json,.json,generated evidence,generated evidence,false,false,false,false,false,true,true,2eb60d5,yes - categorized by path/content scan,true,false,low,Tracked generated evidence; 265335 bytes
package-lock.json,.json,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,4492515,yes - categorized by path/content scan,true,false,medium,Tracked configuration; 344797 bytes
package.json,.json,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked configuration; 3477 bytes
playwright.config.js,.js,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,005b549,yes - categorized by path/content scan,true,false,low,Tracked configuration; 1348 bytes
public/favicon.svg,.svg,public,public,false,false,false,false,false,false,false,7fa95a1,metadata only,true,false,low,Binary/generated or non-text metadata only; 361 bytes
public/icons/app-icon-180.png,.png,public,public,false,false,false,false,false,false,false,1533357,metadata only,true,false,low,Binary/generated or non-text metadata only; 16524 bytes
public/icons/app-icon-192.png,.png,public,public,false,false,false,false,false,false,false,1533357,metadata only,true,false,low,Binary/generated or non-text metadata only; 18164 bytes
public/icons/app-icon-192.svg,.svg,public,public,false,false,false,false,false,false,false,1533357,metadata only,true,false,low,Binary/generated or non-text metadata only; 757 bytes
public/icons/app-icon-512.png,.png,public,public,false,false,false,false,false,false,false,1533357,metadata only,true,false,low,Binary/generated or non-text metadata only; 91698 bytes
public/icons/app-icon-512.svg,.svg,public,public,false,false,false,false,false,false,false,1533357,metadata only,true,false,low,Binary/generated or non-text metadata only; 783 bytes
public/manifest.webmanifest,.webmanifest,public,public,false,false,false,false,false,false,false,1533357,metadata only,true,false,low,Binary/generated or non-text metadata only; 633 bytes
public/robots.txt,.txt,public,public,false,false,false,false,false,false,false,a2d08e7,yes - categorized by path/content scan,true,false,low,Tracked public; 28 bytes
public/sw.js,.js,public,public,false,false,false,false,false,false,false,1533357,yes - categorized by path/content scan,true,false,low,Tracked public; 150 bytes
scripts/admin/ensureAccessControl.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,7e8f8ab,yes - categorized by path/content scan,true,false,high,Tracked script; 2880 bytes
scripts/admin/ensureCodexTestEvent.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,high,Tracked script; 5772 bytes
scripts/admin/generateCpbApprovalPackage.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,5d271e2,yes - categorized by path/content scan,true,false,high,Tracked script; 11201 bytes
scripts/admin/generateCpbManifest.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,high,Tracked script; 14695 bytes
scripts/admin/generatePhase23NFinancialEvidenceManifest.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,true,4ecc0e9,yes - categorized by path/content scan,true,false,high,Tracked script; 21272 bytes
scripts/admin/runCodexApplyRehearsal.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,high,Tracked script; 7974 bytes
scripts/admin/verifyFirebaseSetup.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,84524a6,yes - categorized by path/content scan,true,false,high,Tracked script; 2098 bytes
scripts/admin/verifyProductionCounts.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,high,Tracked script; 3852 bytes
scripts/admin/verifyProductionFixtures.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,high,Tracked script; 3025 bytes
scripts/e2e/globalSetup.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,67219c5,yes - categorized by path/content scan,true,false,low,Tracked script; 2595 bytes
scripts/product/bundleSummary.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,321d987,yes - categorized by path/content scan,true,false,low,Tracked script; 976 bytes
scripts/product/copyScan.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,9ce8ccf,yes - categorized by path/content scan,true,false,low,Tracked script; 1681 bytes
scripts/product/documentationCheck.mjs,.mjs,Repository/admin/product script,check-in,false,false,false,false,false,false,false,15918f4,yes - categorized by path/content scan,true,false,low,Tracked script; 4201 bytes
scripts/product/legacyControlCheck.mjs,.mjs,Repository/admin/product script,check-in,false,false,false,false,false,false,true,93117d6,yes - categorized by path/content scan,false,true,low,Tracked script; 681 bytes
scripts/product/routeInventory.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,321d987,yes - categorized by path/content scan,true,false,low,Tracked script; 1509 bytes
scripts/product/runProductCommand.mjs,.mjs,Repository/admin/product script,script,false,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked script; 1165 bytes
src/App.jsx,.jsx,Application source,source,true,false,false,false,false,false,false,4492515,yes - categorized by path/content scan,true,false,low,Tracked source; 3634 bytes
src/auth/AuthContext.js,.js,Application source,authentication,true,false,false,false,false,false,false,7fa95a1,yes - categorized by path/content scan,true,false,medium,Tracked source; 86 bytes
src/auth/AuthProvider.jsx,.jsx,Application source,authentication,true,false,false,false,false,false,false,2e9ed09,yes - categorized by path/content scan,true,false,medium,Tracked source; 17996 bytes
src/auth/ProtectedRoute.jsx,.jsx,Application source,authentication,true,false,false,false,false,false,false,4492515,yes - categorized by path/content scan,true,false,medium,Tracked source; 772 bytes
src/auth/authFlow.js,.js,Application source,authentication,true,false,false,false,false,false,false,537c0ec,yes - categorized by path/content scan,true,false,medium,Tracked source; 3790 bytes
src/auth/useAuth.js,.js,Application source,authentication,true,false,false,false,false,false,false,7fa95a1,yes - categorized by path/content scan,true,false,medium,Tracked source; 257 bytes
src/components/AdminSearch.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,4492515,yes - categorized by path/content scan,true,false,high,Tracked source; 5306 bytes
src/components/AppErrorBoundary.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 3870 bytes
src/components/AssignedEventGate.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 2942 bytes
src/components/BrandMark.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 900 bytes
src/components/LoadingScreen.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 580 bytes
src/components/ProductFooter.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,80a551b,yes - categorized by path/content scan,true,false,low,Tracked source; 551 bytes
src/components/SystemHealthPanel.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 5390 bytes
src/components/checkin/QrScannerPanel.jsx,.jsx,Reusable UI component,check-in,true,false,false,false,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,low,Tracked source; 12855 bytes
src/components/events/DeleteEventDialog.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,7fa95a1,yes - categorized by path/content scan,true,false,high,Tracked source; 1786 bytes
src/components/events/EventFormModal.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,low,Tracked source; 48829 bytes
src/components/events/EventPlanningWorkspace.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,low,Tracked source; 25895 bytes
src/components/imports/FieldMappingForm.jsx,.jsx,Reusable UI component,imports,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 8758 bytes
src/components/imports/ImportPreviewTable.jsx,.jsx,Reusable UI component,imports,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 24337 bytes
src/components/imports/ImportSummary.jsx,.jsx,Reusable UI component,imports,true,false,false,false,false,false,false,4492515,yes - categorized by path/content scan,true,false,low,Tracked source; 1823 bytes
src/components/imports/ImportTemplatesPanel.jsx,.jsx,Reusable UI component,imports,true,false,false,false,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,low,Tracked source; 13883 bytes
src/components/operations/PartnerCommitmentsPanel.jsx,.jsx,Reusable UI component,operations,true,false,false,false,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,medium,Tracked source; 23996 bytes
src/components/registrations/DeleteRegistrationDialog.jsx,.jsx,Reusable UI component,registrations,true,false,false,false,false,false,false,d0b0da3,yes - categorized by path/content scan,true,false,high,Tracked source; 2184 bytes
src/components/registrations/ExportModal.jsx,.jsx,Reusable UI component,registrations,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 4707 bytes
src/components/registrations/RegistrationCard.jsx,.jsx,Reusable UI component,registrations,true,false,false,false,false,false,false,9e5a605,yes - categorized by path/content scan,true,false,low,Tracked source; 5875 bytes
src/components/registrations/RegistrationFilters.jsx,.jsx,Reusable UI component,registrations,true,false,false,false,false,false,false,91b8610,yes - categorized by path/content scan,true,false,low,Tracked source; 7646 bytes
src/components/registrations/RegistrationFormModal.jsx,.jsx,Reusable UI component,registrations,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 14656 bytes
src/components/tickets/TicketQrCode.jsx,.jsx,Reusable UI component,tickets,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 3351 bytes
src/components/ui/EmptyState.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 1031 bytes
src/components/ui/ErrorState.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,7fa95a1,yes - categorized by path/content scan,true,false,low,Tracked source; 744 bytes
src/components/ui/InfoHint.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 1089 bytes
src/components/ui/LoadingState.jsx,.jsx,Reusable UI component,components,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 469 bytes
src/config/protectedOwner.js,.js,Application source,source,true,false,false,false,false,false,false,2e9ed09,yes - categorized by path/content scan,true,false,low,Tracked source; 503 bytes
src/events/ActiveEventContext.js,.js,Application source,source,true,false,false,false,false,false,false,7fa95a1,yes - categorized by path/content scan,true,false,low,Tracked source; 93 bytes
src/events/ActiveEventProvider.jsx,.jsx,Application source,source,true,false,false,false,false,false,false,7fa95a1,yes - categorized by path/content scan,true,false,low,Tracked source; 1423 bytes
src/events/useActiveEvent.js,.js,Application source,source,true,false,false,false,false,false,false,7fa95a1,yes - categorized by path/content scan,true,false,low,Tracked source; 299 bytes
src/layout/AppShell.jsx,.jsx,Application source,source,true,false,false,false,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked source; 13235 bytes
src/lib/firebase.js,.js,Application source,source,true,false,false,false,false,false,false,005b549,yes - categorized by path/content scan,true,false,low,Tracked source; 2454 bytes
src/lib/monitoring.js,.js,Application source,source,true,false,false,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked source; 1927 bytes
src/main.jsx,.jsx,Application source,source,true,false,false,false,false,false,false,4492515,yes - categorized by path/content scan,true,false,low,Tracked source; 962 bytes
src/pages/CheckInPage.jsx,.jsx,Route/page component,check-in,true,false,false,false,false,false,false,0beba7f,yes - categorized by path/content scan,true,false,low,Tracked source; 47449 bytes
src/pages/CommunicationsPage.jsx,.jsx,Route/page component,message builder,true,false,false,false,false,false,false,ebccf1f,yes - categorized by path/content scan,true,false,low,Tracked source; 22372 bytes
src/pages/DashboardPage.jsx,.jsx,Route/page component,routes,true,false,false,false,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked source; 24776 bytes
src/pages/EventReviewPage.jsx,.jsx,Route/page component,reports,true,false,false,false,false,false,false,1e5f9df,yes - categorized by path/content scan,true,false,low,Tracked source; 28086 bytes
src/pages/EventsPage.jsx,.jsx,Route/page component,routes,true,false,false,false,false,false,false,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked source; 20235 bytes
